City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
273,Auki,SB,-8.7676,160.7034,85.53,64,11,3.38,few clouds
274,Rosario,AR,-32.9468,-60.6393,66.25,88,14,4.32,few clouds
275,Big Spring,US,32.2504,-101.4787,96.62,21,11,15.97,few clouds
276,Fairbanks,US,64.8378,-147.7164,67.6,44,44,1.99,scattered clouds
277,Moctezuma,MX,29.8,-109.6667,90.39,50,50,2.66,scattered clouds
278,Sobolevo,RU,54.4299,31.8996,61.05,84,47,7.18,scattered clouds
279,Tiarei,PF,-17.5333,-149.3333,86.02,77,11,17.56,light rain
280,Praia,CV,14.9215,-23.5087,79.34,83,75,5.75,broken clouds
281,Saint George,US,37.1041,-113.5841,100.85,22,81,16.71,broken clouds
282,Yuanping,CN,38.7153,112.7575,71.33,51,1,1.43,clear sky
283,Apache Junction,US,33.4151,-111.5496,101.43,24,38,9.31,scattered clouds
284,Nanortalik,GL,60.1432,-45.2371,43.57,92,93,10.33,overcast clouds
285,Ugep,NG,5.8086,8.0812,71.74,98,100,2.95,light rain
286,Hidrolandia,BR,-4.4081,-40.4378,82.45,43,94,2.8,overcast clouds
287,Havre-Saint-Pierre,CA,50.2334,-63.5986,66.56,82,100,6.91,overcast clouds
288,Ayan,RU,56.45,138.1667,64.71,74,100,11.92,overcast clouds
289,Ewa Beach,US,21.3156,-158.0072,80.69,63,2,19.75,clear sky
290,Port Hedland,AU,-20.3167,118.5667,59.05,63,0,8.05,clear sky
291,Isangel,VU,-19.55,169.2667,80.6,76,7,11.34,clear sky
292,Lebedinyy,RU,58.5167,125.5167,77.0,53,57,2.13,broken clouds
293,Opuwo,NA,-18.0607,13.84,59.63,38,0,4.05,clear sky
294,Matamoros,MX,25.5333,-103.25,95.11,20,75,14.97,broken clouds
295,Banjar,ID,-8.19,114.9675,74.19,76,73,6.78,broken clouds
296,Inirida,CO,3.8653,-67.9239,73.87,97,90,1.9,overcast clouds
297,Peniche,PT,39.3558,-9.3811,66.29,90,1,9.86,clear sky
298,Haverfordwest,GB,51.8017,-4.9691,64.06,97,100,5.01,overcast clouds
299,Cascais,PT,38.6979,-9.4215,71.06,55,1,13.0,clear sky
300,Tianpeng,CN,30.9866,103.9393,71.33,86,39,1.43,scattered clouds
301,Yamada,JP,39.4667,141.95,76.33,78,85,2.73,overcast clouds
302,Grenfell,AU,-33.9,148.1667,54.7,68,3,3.06,clear sky
303,Rabat,MA,33.9911,-6.8401,75.15,78,88,0.0,overcast clouds
304,Chaves,US,33.3834,-104.4505,95.86,21,5,17.9,clear sky
305,Dhidhdhoo,MV,6.8833,73.1,81.43,75,58,15.14,broken clouds
306,Comodoro Rivadavia,AR,-45.8667,-67.5,38.25,70,98,5.06,overcast clouds
307,Vanimo,PG,-2.6741,141.3028,82.29,79,59,4.76,broken clouds
308,Tautira,PF,-17.7333,-149.15,79.41,75,4,16.82,light rain
309,Kirra,GR,38.4333,22.45,85.17,31,0,5.44,clear sky
310,Hong Gai,VN,20.956,107.0946,83.21,80,19,2.06,few clouds
311,Berezovyy,RU,51.6667,135.7,74.84,58,6,2.35,clear sky
312,Myitkyina,MM,25.3833,97.4,75.56,94,85,1.77,overcast clouds
313,Rottenmann,AT,47.5167,14.35,60.37,97,98,2.48,overcast clouds
314,Mitsamiouli,KM,-11.3847,43.2844,75.06,71,24,4.23,few clouds
315,San Andres,CO,12.5847,-81.7006,82.11,82,75,16.49,broken clouds
316,Banda Aceh,ID,5.5577,95.3222,78.17,86,100,9.15,moderate rain
317,Cabedelo,BR,-6.9811,-34.8339,75.6,87,84,15.03,broken clouds
318,Makubetsu,JP,45.3714,141.8211,60.51,94,75,8.05,broken clouds
319,Danville,US,36.586,-79.395,86.77,61,0,3.44,clear sky
320,Mayo,US,38.8876,-76.5119,92.21,75,0,8.05,clear sky
321,Livanatai,GR,38.7167,23.05,84.65,39,0,5.17,clear sky
322,Saint Anthony,US,45.0205,-93.218,78.85,76,40,4.61,scattered clouds
323,Egvekinot,RU,66.3167,-179.1667,43.16,65,100,4.94,overcast clouds
324,Aksu,CN,41.1231,80.2644,83.07,17,0,5.57,clear sky
